2012-02-13T14:08:31.762+0000: 96266.815: [GC [PSYoungGen: 33960K->376K(34752K)] 63701K->30386K(75712K), 0.0046000 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-13T14:22:37.624+0000: 97112.678: [GC [PSYoungGen: 34040K->560K(34816K)] 64050K->30898K(75776K), 0.0054850 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T14:36:43.603+0000: 97958.656: [GC [PSYoungGen: 34352K->304K(34816K)] 64690K->30926K(75776K), 0.0040780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T14:50:00.416+0000: 98755.469: [GC [PSYoungGen: 34096K->624K(34752K)] 64718K->31258K(75712K), 0.0042660 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T15:04:55.730+0000: 99650.783: [GC [PSYoungGen: 34416K->352K(34816K)] 65050K->31274K(75776K), 0.0045110 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-13T15:21:11.824+0000: 100626.877: [GC [PSYoungGen: 34144K->576K(34880K)] 65066K->31794K(75840K), 0.0053520 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T15:30:00.422+0000: 101155.476: [GC [PSYoungGen: 34466K->908K(34880K)] 65684K->32414K(75840K), 0.0067740 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T15:41:20.341+0000: 101835.395: [GC [PSYoungGen: 34828K->360K(34624K)] 66334K->32582K(75584K), 0.0061030 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T15:55:25.562+0000: 102680.615: [GC [PSYoungGen: 34024K->296K(34752K)] 66246K->32822K(75712K), 0.0047210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T16:10:00.546+0000: 103555.599: [GC [PSYoungGen: 33954K->744K(34688K)] 66481K->33286K(75648K), 0.0044110 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T16:23:37.216+0000: 104372.270: [GC [PSYoungGen: 34408K->336K(34752K)] 66950K->33414K(75712K), 0.0053250 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T16:37:43.054+0000: 105218.108: [GC [PSYoungGen: 34000K->288K(34816K)] 67078K->33650K(75776K), 0.0041450 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T16:50:48.488+0000: 106003.541: [GC [PSYoungGen: 34016K->568K(34752K)] 67378K->33938K(75712K), 0.0041230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T17:06:55.238+0000: 106970.291: [GC [PSYoungGen: 34296K->328K(34816K)] 67666K->33954K(75776K), 0.0041820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
