2012-01-23T13:22:48.261+0000: 69035.786: [GC [PSYoungGen: 43904K->987K(45312K)] 59320K->16404K(73088K), 0.0053980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T13:37:00.698+0000: 69888.223: [GC [PSYoungGen: 44251K->1011K(45184K)] 59668K->16428K(72960K), 0.0051730 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T13:43:11.097+0000: 70258.623: [GC [PSYoungGen: 18391K->928K(44288K)] 33808K->16344K(72064K), 0.0059590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T13:43:11.103+0000: 70258.629: [Full GC (System) [PSYoungGen: 928K->0K(44288K)] [ParOldGen: 15416K->15425K(27776K)] 16344K->15425K(72064K) [PSPermGen: 40683K->40591K(43392K)], 0.2731340 secs] [Times: user=0.30 sys=0.00, real=0.27 secs] 
2012-01-23T13:56:19.356+0000: 71046.882: [GC [PSYoungGen: 43328K->1840K(44928K)] 58753K->17289K(72704K), 0.0052850 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T14:10:00.428+0000: 71867.953: [GC [PSYoungGen: 44901K->2097K(45184K)] 60350K->18122K(72960K), 0.0065920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T14:25:45.766+0000: 72813.291: [GC [PSYoungGen: 45162K->2587K(45376K)] 61187K->18612K(73152K), 0.0080640 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T14:43:11.377+0000: 73858.903: [GC [PSYoungGen: 21988K->2843K(45760K)] 38013K->18868K(73536K), 0.0064820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T14:43:11.384+0000: 73858.909: [Full GC (System) [PSYoungGen: 2843K->0K(45760K)] [ParOldGen: 16024K->16941K(27776K)] 18868K->16941K(73536K) [PSPermGen: 40667K->40595K(42880K)], 0.2806840 secs] [Times: user=0.31 sys=0.00, real=0.28 secs] 
2012-01-23T15:05:00.904+0000: 75168.429: [GC [PSYoungGen: 42752K->897K(45632K)] 59693K->17839K(73408K), 0.0046690 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T15:19:14.335+0000: 76021.860: [GC [PSYoungGen: 43713K->720K(46080K)] 60655K->17661K(73856K), 0.0042360 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T15:34:29.473+0000: 76936.999: [GC [PSYoungGen: 43536K->792K(45952K)] 60477K->17733K(73728K), 0.0043180 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T15:43:11.665+0000: 77459.191: [GC [PSYoungGen: 9199K->752K(43648K)] 26141K->17693K(71424K), 0.0035870 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T15:43:11.669+0000: 77459.194: [Full GC (System) [PSYoungGen: 752K->0K(43648K)] [ParOldGen: 16941K->16973K(27776K)] 17693K->16973K(71424K) [PSPermGen: 40691K->40595K(42624K)], 0.2715920 secs] [Times: user=0.30 sys=0.00, real=0.27 secs] 
2012-01-23T16:43:11.941+0000: 81059.467: [GC [PSYoungGen: 29227K->776K(45696K)] 46200K->17749K(73472K), 0.0042160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T16:43:11.945+0000: 81059.471: [Full GC (System) [PSYoungGen: 776K->0K(45696K)] [ParOldGen: 16973K->16982K(27776K)] 17749K->16982K(73472K) [PSPermGen: 40615K->40595K(42368K)], 0.2805640 secs] [Times: user=0.31 sys=0.00, real=0.28 secs] 
2012-01-23T16:54:33.503+0000: 81741.028: [GC [PSYoungGen: 42880K->697K(45824K)] 59862K->17679K(73600K), 0.0040210 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T17:10:00.417+0000: 82667.942: [GC [PSYoungGen: 43577K->736K(45568K)] 60559K->17718K(73344K), 0.0043170 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T17:43:12.227+0000: 84659.752: [GC [PSYoungGen: 21585K->928K(43904K)] 38567K->17910K(71680K), 0.0047840 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
